"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Vega";126.27;10.44;9.67;10.88;2.17;0.00;0.00;0.00;0.00;0.00
"Vevelstad";51.62;41.38;90.59;201.91;140.04;4.83;0.02;0.00;0.00;0.00
"Herøy (Nordl.)";61.30;0.25;0.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Alstahaug";69.50;33.20;31.50;55.40;24.20;1.20;0.00;0.00;0.00;0.00
"Leirfjord";110.60;67.84;69.63;125.10;69.80;1.03;0.00;0.00;0.00;0.00
"Vefsn";173.90;201.40;344.50;739.00;379.20;49.00;7.00;0.00;0.00;0.00
"Grane";9.25;62.90;175.10;835.57;626.19;253.70;50.97;3.75;0.00;0.00
"Hattfjelldal";1.40;45.05;1052.61;1019.23;548.71;14.56;1.00;0.04;0.00;0.00
"Dønna";137.81;27.90;15.73;10.38;1.15;0.00;0.00;0.00;0.00;0.00
"Nesna";27.99;33.31;76.62;60.10;4.28;0.05;0.00;0.00;0.00;0.00
"Hemnes";41.34;58.56;117.93;635.72;465.30;208.95;49.66;16.14;0.40;0.00
"Rana";130.19;201.25;341.98;1144.23;1544.17;879.50;221.41;1.01;0.00;0.00
"Lurøy";113.53;37.85;42.01;48.89;18.26;1.78;0.00;0.00;0.00;0.00
"Træna";14.27;0.52;0.27;0.01;0.00;0.00;0.00;0.00;0.00;0.00
"Rødøy";152.03;77.19;96.32;179.69;133.53;50.18;16.70;0.02;0.00;0.00
"Meløy";126.87;81.96;78.44;208.00;162.27;145.68;67.00;0.96;0.00;0.00
"Gildeskål";132.23;52.77;90.55;235.38;137.47;15.72;0.32;0.00;0.00;0.00
"Beiarn";33.24;34.46;91.24;356.13;395.09;273.04;42.07;0.47;0.00;0.00
