lat,lng,dates
61.73,9.83,2011-09-01
61.76,9.94,2011-09-01
61.94,9.52,2011-08-01
61.68,9.93,2011-08-01
61.6,10.15,2011-08-01
62.06,9.67,2011-08-01
62.21,9.31,2011-07-01
62.36,10.32,2011-08-01
62.73,8.8,2011-08-01
61.74,9.8,2011-08-01
61.94,8.86,2011-08-01
67.16,15.24,2011-09-01
61.69,9.84,2011-09-01
62.66,9.42,2011-09-01
62.31,10.16,2011-09-01
62.66,10.89,2011-09-01
64.6,13.46,2011-01-01
69.71,25.37,2011-01-01
62.43,11.18,2011-10-01
62.43,7.39,2011-01-01
62.34,7.07,2011-01-01
62.51,7.27,2011-03-01
69.77,23.03,2011-09-01
66.53,13.75,2011-12-01
62.12,8.83,2011-11-01
69.97,23.58,2011-01-01
62.58,7.22,2011-02-01
63.13,10.79,2011-04-01
63.95,12.21,2011-04-01
64.44,13.07,2011-05-01
63.81,12.13,2011-09-01
62.58,7.26,2011-02-01
62.67,10.02,2011-03-01
63.86,12.25,2011-04-01
63.88,12.19,2011-04-01
61.56,11.83,2011-07-01
62.69,9.18,2011-08-01
64.36,12.79,2011-02-01
69.03,24.98,2011-02-01
69.71,24.97,2011-03-01
69.95,25.09,2011-02-01
62.4,11.76,2011-02-01
61.69,9.83,2011-08-01
62.55,10.73,2011-08-01
62.59,10.89,2011-08-01
62.11,9.4,2011-08-01
61.72,9.91,2011-08-01
61.26,9.31,2011-08-01
62.43,9.38,2011-08-01
63.74,12.12,2011-09-01
61.96,8.29,2011-09-01
70.41,30.67,2011-09-01
62.68,10.91,2011-09-01
64.07,12.03,2011-01-01
69.65,25.39,2011-01-01
69.77,23.03,2011-09-01
66.53,13.75,2011-12-01
62.12,8.83,2011-11-01
69.97,23.58,2011-01-01
62.58,7.22,2011-02-01
63.13,10.79,2011-04-01
63.95,12.21,2011-04-01
64.44,13.07,2011-05-01
63.81,12.13,2011-09-01
62.58,7.26,2011-02-01
62.67,10.02,2011-03-01
63.86,12.25,2011-04-01
63.88,12.19,2011-04-01
61.56,11.83,2011-07-01
62.69,9.18,2011-08-01
64.36,12.79,2011-02-01
69.03,24.98,2011-02-01
69.71,24.97,2011-03-01
69.95,25.09,2011-02-01
62.4,11.76,2011-02-01
64.01,12.63,2011-04-01
67.06,14.79,2011-04-01
66.49,13.53,2011-05-01
62.26,9.68,2011-07-01
62.09,9.96,2011-07-01
61.73,9.86,2011-09-01
62.55,10.5,2011-09-01
62.55,10.5,2011-09-01
61.79,10.11,2011-09-01
62.51,10.48,2011-10-01
62.49,10.61,2011-08-01
62.2,10.95,2011-08-01
66.98,14.66,2011-09-01
67.06,14.38,2011-08-01
62.5,10.71,2011-08-01
62.09,8.82,2011-09-01
62.44,11.48,2011-09-01
61.69,9.83,2011-09-01
61.69,9.83,2011-08-01
61.68,9.92,2011-08-01
61.82,8.62,2011-09-01
62.38,10.21,2011-08-01
62.76,9.69,2011-09-01
66.91,14.66,2011-09-01
66.92,14.66,2011-09-01
64.06,12.04,2011-02-01
69.72,25.35,2011-01-01
69.19,24.26,2011-01-01
69.2,24.22,2011-01-01
64.41,13.14,2011-01-01
64.4,13.22,2011-01-01
62.27,10.65,2011-10-01
66.32,13.83,2011-10-01
69.19,18.92,2011-12-01
64.3,12.89,2011-02-01
69.66,25.0,2011-03-01
69.02,24.99,2011-02-01
64.33,12.78,2011-02-01
69.35,24.98,2011-03-01
62.05,11.92,2011-04-01
69.25,20.07,2011-06-01
62.26,9.69,2011-06-01
62.05,8.33,2011-08-01
62.21,9.27,2011-07-01
62.7,9.63,2011-08-01
62.04,8.46,2011-08-01
61.7,9.89,2011-08-01
62.57,10.89,2011-08-01
62.61,10.76,2011-08-01
62.36,10.32,2011-08-01
61.71,9.92,2011-08-01
61.88,7.9,2011-08-01
62.4,9.97,2011-09-01
61.81,8.42,2011-08-01
61.82,9.9,2011-09-01
65.8,14.5,2011-09-01
62.38,10.23,2011-09-01
61.57,7.71,2011-09-01
61.32,7.48,2011-09-01
62.91,8.91,2011-09-01
64.16,12.21,2011-09-01
66.93,14.68,2011-09-01
70.12,25.77,2011-01-01
64.07,12.02,2011-01-01
69.19,24.23,2011-01-01
69.66,25.4,2011-01-01
69.85,20.9,2011-08-01
62.27,10.65,2011-10-01
66.32,13.83,2011-10-01
69.19,18.92,2011-12-01
64.3,12.89,2011-02-01
69.66,25.0,2011-03-01
69.02,24.99,2011-02-01
64.33,12.78,2011-02-01
69.35,24.98,2011-03-01
62.05,11.92,2011-04-01
69.25,20.07,2011-06-01
62.26,9.69,2011-06-01
62.05,8.33,2011-08-01
62.21,9.27,2011-07-01
62.7,9.63,2011-08-01
62.04,8.46,2011-08-01
61.7,9.89,2011-08-01
61.7,9.88,2011-08-01
62.5,10.62,2011-08-01
59.5,6.75,2011-08-01
61.7,9.92,2011-08-01
61.82,8.62,2011-09-01
62.38,10.21,2011-08-01
62.76,9.69,2011-09-01
66.91,14.66,2011-09-01
66.92,14.66,2011-09-01
64.06,12.04,2011-02-01
69.72,25.35,2011-01-01
62.51,11.28,2011-10-01
65.01,12.9,2011-12-01
62.5,7.6,2011-01-01
63.17,11.11,2011-01-01
62.58,7.22,2011-01-01
61.55,8.8,2011-02-01
63.76,11.63,2011-03-01
63.15,11.11,2011-03-01
61.7,9.72,2011-05-01
62.49,7.09,2011-12-01
64.45,12.83,2011-02-01
70.12,27.22,2011-03-01
64.33,12.64,2011-02-01
62.61,10.02,2011-10-01
62.7,9.21,2011-09-01
69.83,28.7,2011-03-01
64.37,12.81,2011-02-01
68.47,19.82,2011-03-01
66.76,15.69,2011-03-01
61.55,10.53,2011-07-01
62.62,10.24,2011-09-01
62.72,10.97,2011-09-01
62.13,11.11,2011-07-01
62.51,10.59,2011-08-01
61.28,10.78,2011-08-01
62.48,10.61,2011-08-01
66.31,13.81,2011-10-01
61.7,9.87,2011-08-01
61.7,9.84,2011-08-01
62.57,10.85,2011-08-01
62.57,10.86,2011-08-01
62.51,10.73,2011-08-01
61.8,9.95,2011-09-01
64.06,11.99,2011-01-01
67.1,16.13,2011-01-01
69.81,28.98,2011-01-01
62.41,7.67,2011-08-01
61.67,9.93,2011-10-01
67.97,15.74,2011-10-01
69.63,24.69,2011-12-01
70.11,23.94,2011-07-01
62.82,9.52,2011-03-01
63.16,11.11,2011-04-01
61.7,9.72,2011-05-01
63.44,10.34,2011-12-01
64.45,12.83,2011-02-01
70.12,27.22,2011-03-01
64.33,12.64,2011-02-01
70.16,25.87,2011-03-01
69.35,24.95,2011-03-01
62.09,11.97,2011-02-01
64.41,13.09,2011-03-01
70.37,25.03,2011-05-01
64.41,12.96,2011-04-01
69.02,17.62,2011-02-01
61.68,8.28,2011-09-01
62.13,11.11,2011-07-01
62.49,10.61,2011-08-01
61.68,9.93,2011-08-01
62.11,9.41,2011-08-01
61.65,9.81,2011-08-01
61.7,9.93,2011-08-01
61.69,9.95,2011-08-01
62.36,10.32,2011-09-01
61.69,9.83,2011-09-01
61.91,8.67,2011-09-01
61.32,9.1,2011-09-01
61.69,9.8,2011-09-01
62.41,10.0,2011-09-01
61.68,9.9,2011-09-01
64.09,12.06,2011-01-01
69.79,28.61,2011-01-01
62.28,12.0,2011-02-01
64.06,11.99,2011-01-01
67.1,16.13,2011-01-01
